,eval_L2,eval_Sen,eval_Mahalanobis,ground_truth,adv_prediction,model,attack,dataset,attack_success
0,0.832861549058081,3.4456414819280266,0.0676579001811221,<=50K,>50K,LR,deepfool,adult,1.0
1,0.0025105853523333,0.0103865508286902,0.0002039478677748,<=50K,>50K,LR,deepfool,adult,1.0
2,0.0613293428371324,0.146191320125806,0.0090325114287883,>50K,>50K,LR,deepfool,adult,0.0
3,0.6654826561822732,2.75317631431893,0.0540607987955133,<=50K,>50K,LR,deepfool,adult,1.0
4,0.2454371465417427,1.015400934796444,0.0199382015278494,<=50K,>50K,LR,deepfool,adult,1.0
5,0.0805570877656912,0.1920246536880861,0.011864344927742,>50K,<=50K,LR,deepfool,adult,1.0
6,0.1639945757637033,0.6652826985443451,0.0154826112458253,>50K,<=50K,LR,deepfool,adult,1.0
7,1.2927478757947912,6.259373060963844,0.1380352925576116,<=50K,>50K,LR,deepfool,adult,1.0
8,0.2813440630689687,1.163951910833462,0.0228551184690012,<=50K,>50K,LR,deepfool,adult,1.0
9,0.0192476702826057,0.0796298044997264,0.0015635948223896,>50K,>50K,LR,deepfool,adult,0.0
10,0.1857461395163049,0.7684526095950581,0.0150891769120406,<=50K,>50K,LR,deepfool,adult,1.0
11,0.6935911785318736,2.869464399159189,0.0563442071680648,<=50K,>50K,LR,deepfool,adult,1.0
12,0.1442676738660766,0.5968514876725709,0.0117196511393572,>50K,>50K,LR,deepfool,adult,0.0
13,0.0900836467351867,0.3726861128842509,0.0073179870519608,<=50K,>50K,LR,deepfool,adult,1.0
14,0.0960346800812515,0.3973062579006126,0.0078014235543936,<=50K,>50K,LR,deepfool,adult,1.0
15,1.3534141320847175,6.58469169944314,0.1487867557567048,<=50K,>50K,LR,deepfool,adult,1.0
16,0.0493316202393944,0.1964552799268779,0.0063171727431906,>50K,>50K,LR,deepfool,adult,0.0
17,0.1551635471248977,0.3698647534545334,0.0228522924613001,<=50K,<=50K,LR,deepfool,adult,0.0
18,0.0797396795004076,0.3106872558769477,0.0067612868825178,>50K,<=50K,LR,deepfool,adult,1.0
19,0.426882383460718,1.766060253962935,0.0346779929461304,<=50K,>50K,LR,deepfool,adult,1.0
20,0.4902799605974053,2.028343100518017,0.0398281228177275,<=50K,>50K,LR,deepfool,adult,1.0
21,1.1266688958912092,5.2059974660530095,0.105941464394875,<=50K,>50K,LR,deepfool,adult,1.0
22,0.0317699510695868,0.1314358569214486,0.0025808474433713,<=50K,>50K,LR,deepfool,adult,1.0
23,1.1893088160944856,5.643707570131059,0.1186481524328475,<=50K,>50K,LR,deepfool,adult,1.0
24,0.0035203618707284,0.0145641078241537,0.0002859779385457,<=50K,>50K,LR,deepfool,adult,1.0
25,0.2156806305461271,0.892294942111179,0.0175209182308768,<=50K,>50K,LR,deepfool,adult,1.0
26,0.4546697450736147,1.8810197060588216,0.0369353139807541,<=50K,>50K,LR,deepfool,adult,1.0
27,0.4760531445679707,1.9694852483499796,0.0386724047257727,<=50K,>50K,LR,deepfool,adult,1.0
28,0.0896616124994858,0.3709401398025521,0.0072837035506438,<=50K,>50K,LR,deepfool,adult,1.0
29,2.226645477905539,8.3942899070921,0.9905113901501792,<=50K,>50K,LR,deepfool,adult,1.0
